name
Triangle
Square
Pentagon
Hexagon
Heptagon
Octagon
Nonagon
Decagon
Hendecagon
Dodecagon
Triskaidecagon
Tetrakaidecagon
Pentadecagon
Hexakaidecagon
Heptadecagon
Octakaidecagon
Enneadecagon
Icosagon
Icosihenagon
Icosidigon
Icositrigon
Icositetragon
Icosipentagon
Icosihexagon
Icosiheptagon
Icosioctagon
Icosienneagon
Triacontagon
Triacontahennagon
Triacontadigon
Triacontatrigon
Triacontatetragon
Triacontapentagon
Triacontahexagon
Triacontaheptagon
Triacontaoctagon
Triacontaenneagon
Tetracontagon
